# q qerr q^2*I(q) q^2*I(q)err
1.324705186135254759e-02 1.950061965010807974e-05 3.800122363983357565e-02 1.255506048609221210e+02
1.331464590535144481e-02 1.971342483791813650e-05 3.567423586619448278e-02 1.038288409413051596e+02
1.338246201819818029e-02 1.980759851740583838e-05 3.359158186821728509e-02 9.358787128906476482e+01
1.345015630388341626e-02 1.948347984350791456e-05 3.144005738595168076e-02 6.517432172405324309e+01
1.351758013217837194e-02 1.961009685279077524e-05 2.997029730600081834e-02 5.136854588937880095e+01
1.358489966380804770e-02 1.945040962954020652e-05 2.874165693290700596e-02 4.700394715655204436e+01
1.365234967784378917e-02 1.965051840376857154e-05 2.793743320715158518e-02 4.919830122991879051e+01
1.371982916599924496e-02 1.958615565530022527e-05 2.705246167372700808e-02 4.646131648032397976e+01
1.378742876183894003e-02 1.963075010153699209e-05 2.615794527818766230e-02 4.377815250730002106e+01
1.385517022180975458e-02 1.977580058053324919e-05 2.520762432497478459e-02 3.799992579910439616e+01
1.392274752077043813e-02 1.946543398565439049e-05 2.443706128951315601e-02 3.630683147347919260e+01
1.399015605301822361e-02 1.953781504057002763e-05 2.396873211459841710e-02 3.558367216960409252e+01
1.405758815926043404e-02 1.957014490759139967e-05 2.353065653442088304e-02 3.648631405065111721e+01
1.412506270993899200e-02 1.952503254412564859e-05 2.351821870658226885e-02 4.335375797438502588e+01
1.419276907357835960e-02 1.984744330964149638e-05 2.340517479059539552e-02 4.483124393760127191e+01
1.426036923190808665e-02 1.937485665207266068e-05 2.325049872134524187e-02 4.774655682088894082e+01
1.432776175500232417e-02 1.968753708692284158e-05 2.319024451988034932e-02 4.693176179161206107e+01
1.439534802448816375e-02 1.953581794086926298e-05 2.308869289596865437e-02 4.976824224531495844e+01
1.446276534404793319e-02 1.957178460441825641e-05 2.309112856564490140e-02 5.043180255380716659e+01
1.453021375150881367e-02 1.969804284605981991e-05 2.307344693600154456e-02 5.266390580545449041e+01
1.459777381283875429e-02 1.949936669078930607e-05 2.353908257497984088e-02 7.267526330336993112e+01
1.466547203440600640e-02 1.980601071523349966e-05 2.410140378897750874e-02 1.031624256983080556e+02
1.473330327890540366e-02 1.953280378515021628e-05 2.409147698291140560e-02 1.212887477604265456e+02
1.480061134737883227e-02 1.942961016275636282e-05 2.313330852454086733e-02 8.066157900417967141e+01
1.486766887318355553e-02 1.944809907531999413e-05 2.224158834154030609e-02 6.130813005113984104e+01
1.493518382112382636e-02 1.964844932396847299e-05 2.265619289459312735e-02 1.339207628962124375e+02
1.500284015541878714e-02 1.968093344223124664e-05 2.221652837733299746e-02 1.923969406693630333e+02
1.507093077860746297e-02 1.953798036515856011e-05 2.060966391068487155e-02 1.841849493494521823e+02
1.513847313157446611e-02 1.938752414545854479e-05 1.854084052311766317e-02 1.132281995867911064e+02
1.520568101031005703e-02 1.930441486884547475e-05 1.659318302235348458e-02 5.294439579465132795e+01
1.527321095526162908e-02 1.952305285050220262e-05 1.536809103772749513e-02 2.867257148569165182e+01
1.534105317622739065e-02 1.958720472058223650e-05 1.406136148810618533e-02 2.079558541615037726e+01
1.540821459491581967e-02 1.954180056877127705e-05 1.301954993017932598e-02 2.006189547944272533e+01
1.547583584696830307e-02 1.975493782502190580e-05 1.248802284224260865e-02 2.046172978429094513e+01
1.554352334943440335e-02 1.963134048860627219e-05 1.179777801360887626e-02 1.909674568569954900e+01
1.561113556007543909e-02 1.959468190213170386e-05 1.129368134491630545e-02 1.810003635689016122e+01
